"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-09 11:28:25.597, [INFO],Judge Storage:L0,857,0,0,0,0
2023-09-09 11:28:26.155, [INFO],Still Outside
2023-09-09 11:28:26.599, [INFO],Judge Storage:L0,859,0,0,0,0
2023-09-09 11:28:26.718, [INFO],Still Outside
2023-09-09 11:28:27.281, [INFO],Still Outside
2023-09-09 11:28:27.602, [INFO],Judge Storage:L0,866,0,0,0,0
2023-09-09 11:28:27.843, [INFO],Still Outside
2023-09-09 11:28:28.406, [INFO],Still Outside
2023-09-09 11:28:28.605, [INFO],Judge Storage:L0,855,0,0,0,0
2023-09-09 11:28:28.969, [INFO],Still Outside
2023-09-09 11:28:29.533, [INFO],Still Outside
2023-09-09 11:28:29.607, [INFO],Judge Storage:L0,862,0,0,0,0
2023-09-09 11:28:30.96 , [INFO],Still Outside
2023-09-09 11:28:30.609, [INFO],Judge Storage:L0,851,0,0,0,0
2023-09-09 11:28:30.659, [INFO],Still Outside
2023-09-09 11:28:31.222, [INFO],Still Outside
2023-09-09 11:28:31.612, [INFO],Judge Storage:L0,861,0,0,0,0
2023-09-09 11:28:31.784, [INFO],Still Outside
2023-09-09 11:28:32.347, [INFO],Still Outside
2023-09-09 11:28:32.615, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:28:32.910, [INFO],Still Outside
2023-09-09 11:28:33.472, [INFO],Still Outside
2023-09-09 11:28:33.618, [INFO],Judge Storage:L0,858,0,0,0,0
2023-09-09 11:28:34.35 , [INFO],Still Outside
2023-09-09 11:28:34.600, [INFO],Still Outside
2023-09-09 11:28:34.621, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:28:35.163, [INFO],Still Outside
2023-09-09 11:28:35.623, [INFO],Judge Storage:L0,843,0,0,0,0
2023-09-09 11:28:35.725, [INFO],Still Outside
2023-09-09 11:28:36.288, [INFO],Still Outside
2023-09-09 11:28:36.626, [INFO],Judge Storage:L0,852,0,0,0,0
2023-09-09 11:28:36.851, [INFO],Still Outside
2023-09-09 11:28:37.413, [INFO],Still Outside
2023-09-09 11:28:37.629, [INFO],Judge Storage:L0,859,0,0,0,0
2023-09-09 11:28:37.976, [INFO],Still Outside
2023-09-09 11:28:38.539, [INFO],Still Outside
2023-09-09 11:28:38.632, [INFO],Judge Storage:L0,860,0,0,0,0
2023-09-09 11:28:39.102, [INFO],Still Outside
2023-09-09 11:28:39.635, [INFO],Judge Storage:L0,859,0,0,0,0
2023-09-09 11:28:39.666, [INFO],Still Outside
2023-09-09 11:28:40.229, [INFO],Still Outside
2023-09-09 11:28:40.637, [INFO],Judge Storage:L0,840,0,0,0,0
2023-09-09 11:28:40.791, [INFO],Still Outside
2023-09-09 11:28:41.354, [INFO],Still Outside
2023-09-09 11:28:41.640, [INFO],Judge Storage:L0,836,0,0,0,0
2023-09-09 11:28:41.917, [INFO],Still Outside
2023-09-09 11:28:42.479, [INFO],Still Outside
2023-09-09 11:28:42.643, [INFO],Judge Storage:L0,840,0,0,0,0
2023-09-09 11:28:43.42 , [INFO],Still Outside
2023-09-09 11:28:43.605, [INFO],Still Outside
2023-09-09 11:28:43.645, [INFO],Judge Storage:L0,844,0,0,0,0
2023-09-09 11:28:44.168, [INFO],Still Outside
